id,source_id,url,title,lang,scraped_at,published_at,ai_score,ai_score_zs,ai_score_zs_v2,topic_primary,topic_primary_score,topic_scores
213213,mk_kr,https://www.mk.co.kr/news/economy/12051149,[포토] 일자리 지원 나선 하나금융 - 매일경제,,2026-05-19 05:36:08.023117+09,2026-05-18 00:00:00+09,,,0.5826668267283465,ai_infra_compute,0.59802264,"[{""score"": 0.5980226397514343, ""topic"": ""ai_infra_compute""}, {""score"": 0.5730452537536621, ""topic"": ""genai_foundation""}, {""score"": 0.5689831376075745, ""topic"": ""robotics_autonomy""}]"
213212,mk_kr,https://www.mk.co.kr/news/economy/12051150,[표] 외국환율고시표 - 매일경제,,2026-05-19 05:36:07.18198+09,2026-05-18 00:00:00+09,,,0.5843534483245182,ai_infra_compute,0.60066855,"[{""score"": 0.6006685495376587, ""topic"": ""ai_infra_compute""}, {""score"": 0.5772940516471863, ""topic"": ""genai_foundation""}, {""score"": 0.5634009838104248, ""topic"": ""robotics_autonomy""}]"
213211,mk_kr,https://www.mk.co.kr/news/economy/12051147,은행·카드·증권·보험 통합 '신한 슈퍼SOL' 앱 내달 출시 - 매일경제,,2026-05-19 05:36:05.814057+09,2026-05-18 00:00:00+09,,,0.5263811538834581,genai_foundation,0.6065458,"[{""score"": 0.6065458059310913, ""topic"": ""genai_foundation""}, {""score"": 0.5976316928863525, ""topic"": ""ai_infra_compute""}, {""score"": 0.535101056098938, ""topic"": ""enterprise_industry""}]"
213210,mk_kr,https://www.mk.co.kr/news/economy/12051148,李정부 포용금융 강화 주문에 1금융 갈아타기 대출 잇단 출시 - 매일경제,,2026-05-19 05:36:04.986247+09,2026-05-18 00:00:00+09,,,0.5055272136320456,enterprise_industry,0.4185287,"[{""score"": 0.4185287058353424, ""topic"": ""enterprise_industry""}, {""score"": 0.4036799967288971, ""topic"": ""genai_foundation""}, {""score"": 0.4006859064102173, ""topic"": ""ai_infra_compute""}]"
213209,mk_kr,https://www.mk.co.kr/news/economy/12051145,[단독] 두산 '반도체 강화'에 … 동반자로 나선 産銀 - 매일경제,,2026-05-19 05:36:04.061922+09,2026-05-18 00:00:00+09,,,0.5077548530457343,ai_infra_compute,0.5037532,"[{""score"": 0.5037531852722168, ""topic"": ""ai_infra_compute""}, {""score"": 0.4820442795753479, ""topic"": ""enterprise_industry""}, {""score"": 0.45159590244293213, ""topic"": ""robotics_autonomy""}]"
213208,mk_kr,https://www.mk.co.kr/news/economy/12051146,"[금융 라운지] ""창업부터 재기까지""…은행권, 소상공인 컨설팅 - 매일경제",,2026-05-19 05:36:03.433335+09,2026-05-18 00:00:00+09,,,0.5008967756983271,enterprise_industry,0.47997457,"[{""score"": 0.47997456789016724, ""topic"": ""enterprise_industry""}, {""score"": 0.4566526412963867, ""topic"": ""ai_infra_compute""}, {""score"": 0.41978973150253296, ""topic"": ""genai_foundation""}]"
213207,mk_kr,https://www.mk.co.kr/news/business/12051204,美中 ‘관리된 안정’ 시대 돌입 ... “엔비디아 칩 풀리면 SK하이닉스에 호재” - 매일경제,,2026-05-19 05:36:02.556677+09,2026-05-01 00:00:00+09,,,0.8570357561629229,ai_infra_compute,0.3823084,"[{""score"": 0.38230839371681213, ""topic"": ""ai_infra_compute""}, {""score"": 0.37189266085624695, ""topic"": ""enterprise_industry""}, {""score"": 0.34391966462135315, ""topic"": ""genai_foundation""}]"
213206,mk_kr,https://www.mk.co.kr/news/business/12051523,카카오 노사 조정 연장…본사 첫 파업 불씨 여전 - 매일경제,,2026-05-19 05:36:01.944675+09,2026-05-18 00:00:00+09,,,0.5028845532996296,ai_infra_compute,0.3903861,"[{""score"": 0.39038610458374023, ""topic"": ""ai_infra_compute""}, {""score"": 0.38773223757743835, ""topic"": ""genai_foundation""}, {""score"": 0.368835985660553, ""topic"": ""enterprise_industry""}]"
213204,mk_kr,https://www.mk.co.kr/news/business/12051484,[속보] 카카오 지노위 조정 연장…사상 최초 본사 파업 위기 일단은 넘겼다 - 매일경제,,2026-05-19 05:36:00.579889+09,2026-05-18 00:00:00+09,,,0.5034319923138026,genai_foundation,0.34056395,"[{""score"": 0.34056395292282104, ""topic"": ""genai_foundation""}, {""score"": 0.3199406862258911, ""topic"": ""ai_infra_compute""}, {""score"": 0.31452813744544983, ""topic"": ""enterprise_industry""}]"
213203,mk_kr,https://www.mk.co.kr/news/business/12051408,"“관련자 모두 문책”…정용진 회장, 손정현 스벅 대표에 해임 통보 - 매일경제",,2026-05-19 05:35:59.811249+09,2026-05-18 00:00:00+09,,,0.5031466565052645,genai_foundation,0.31762528,"[{""score"": 0.3176252841949463, ""topic"": ""genai_foundation""}, {""score"": 0.2926826775074005, ""topic"": ""ai_infra_compute""}, {""score"": 0.2637307941913605, ""topic"": ""security_trust""}]"
